mhaName,year,rate,code
"BOISE	 ID	",2018,1095,251
"BOULDER	 CO	",2018,1938,253
"CHAMPAIGN/URBANA	 IL	",2018,1023,255
CHARLESTON WV,2018,1626,257
"CHARLOTTESVILLE	 VA	",2018,1164,259
"CHATTANOOGA	 TN	",2018,1533,261
"CINCINNATI	 OH	",2018,1344,263
"COLUMBIA/JEFFERSON CITY	MO	",2018,1692,265
"COLUMBUS AFB	 MS	",2018,1149,267
"DAVIS-MONTHAN AFB	 AZ	",2018,1038,269
"DES MOINES	 IA	",2018,1329,271
"DULUTH	 MN	",2018,1440,273
"DULUTH	 MN	",2018,1386,275
"EGLIN AFB	 FL	",2018,1407,277
"ESSEX CO	 MA	",2018,2403,279
"FAYETTEVILLE	 AR	",2018,1110,281
"FORT COLLINS	 CO	",2018,1707,283
"FORT COLLINS	 CO	",2018,1707,285
"FORT LEAVENWORTH	 KS	",2018,1260,287
"HAMPDEN COUNTY	 MA	",2018,1743,289
"HAWAII COUNTY	 HI	",2018,2007,291
"HELENA	 MT	",2018,999,293
"NEW LONDON	 CT	",2018,1548,295
"OGDEN/HILL AFB	 UT	",2018,1230,297
"RAPID CITY/ELLSWORTH AFB	 SD	",2018,1242,299
"ABERDEEN PROVING GROUNDS	 MD	",2019,1698,301
"ABERDEEN PROVING GROUNDS	 MD	",2019,1698,303
"ABILENE/DYESS AFB	 TX	",2019,1062,305
"AKRON	 OH	",2019,1233,307
"ALBANY	 GA	",2019,963,309
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2019,1377,311
"ALEXANDRIA	 LA	",2019,1011,313
"ALLENTOWN/BETHLEHEM	 PA	",2019,1713,315
"ALLENTOWN/BETHLEHEM	 PA	",2019,1713,317
"ALTUS AFB	 OK	",2019,852,319
"ANCHORAGE	 AK	",2019,2028,321
"ANN ARBOR	 MI	",2019,1818,323
"ANNISTON/FORT MCCLELLAN AL	",2019,837,325
"ASHEVILLE	 NC	",2019,1608,327
"ASTORIA	 OR	",2019,1413,329
"ASTORIA	 OR	",2019,1413,331
"BALLSTON SPA/ALBANY	 NY	",2019,2025,333
"BALLSTON SPA/ALBANY	 NY	",2019,2025,335
"BALLSTON SPA/ALBANY	 NY	",2019,2025,337
"BANGOR	 ME	",2019,1314,339
"BARSTOW/FORT IRWIN	 CA	",2019,1242,341
"BEALE AFB	 CA	",2019,2034,343
"BEAUFORT/PARRIS ISLAND	 SC	",2019,1620,345
"BISMARCK	 ND	",2019,1278,347
"BLOOMINGTON	 IN	",2019,1146,349
"BOISE	 ID	",2019,1197,351
"BOULDER	 CO	",2019,2082,353
"CHAMPAIGN/URBANA	 IL	",2019,1071,355
CHARLESTON WV,2019,1677,357
"CHARLOTTESVILLE	 VA	",2019,1137,359
"CHATTANOOGA	 TN	",2019,1566,361
"CINCINNATI	 OH	",2019,1287,363
"COLUMBIA/JEFFERSON CITY	MO	",2019,1695,365
"COLUMBUS AFB	 MS	",2019,1149,367
"DAVIS-MONTHAN AFB	 AZ	",2019,996,369
"DES MOINES	 IA	",2019,1314,371
"DULUTH	 MN	",2019,1455,373
"DULUTH	 MN	",2019,1488,375
"EGLIN AFB	 FL	",2019,1488,377
"ESSEX CO	 MA	",2019,1452,379
"FAYETTEVILLE	 AR	",2019,2514,381
"FORT COLLINS	 CO	",2019,1143,383
"FORT COLLINS	 CO	",2019,1722,385
"FORT LEAVENWORTH	 KS	",2019,1263,387
"HAMPDEN COUNTY	 MA	",2019,1743,389
"HAWAII COUNTY	 HI	",2019,2205,391
"HELENA	 MT	",2019,999,393
"NEW LONDON	 CT	",2019,1545,395
"OGDEN/HILL AFB	 UT	",2019,1317,397
"RAPID CITY/ELLSWORTH AFB	 SD	",2019,1203,399
"ABERDEEN PROVING GROUNDS	 MD	",2020,1785,401
"ABERDEEN PROVING GROUNDS	 MD	",2020,1785,403
"ABILENE/DYESS AFB	 TX	",2020,1167,405
"AKRON	 OH	",2020,1140,407
"ALBANY	 GA	",2020,960,409
"ALBUQUERQUE/KIRTLAND AFB	 NM	",2020,1404,411
"ALEXANDRIA	 LA	",2020,900,413
"ALLENTOWN/BETHLEHEM	 PA	",2020,1842,415
"ALLENTOWN/BETHLEHEM	 PA	",2020,1842,417
"ALTUS AFB	 OK	",2020,894,419
"ANCHORAGE	 AK	",2020,2067,421
"ANN ARBOR	 MI	",2020,2034,423
"ANNISTON/FORT MCCLELLAN AL	",2020,858,425
"ASHEVILLE	 NC	",2020,1602,427
"ASTORIA	 OR	",2020,1506,429
"ASTORIA	 OR	",2020,1506,431
"BALLSTON SPA/ALBANY	 NY	",2020,2148,433
"BALLSTON SPA/ALBANY	 NY	",2020,2148,435
"BALLSTON SPA/ALBANY	 NY	",2020,2148,437
"BANGOR	 ME	",2020,1332,439
"BARSTOW/FORT IRWIN	 CA	",2020,1359,441
"BEALE AFB	 CA	",2020,2115,443
"BEAUFORT/PARRIS ISLAND	 SC	",2020,1677,445
"BISMARCK	 ND	",2020,1269,447
"BLOOMINGTON	 IN	",2020,1254,449
"BOISE	 ID	",2020,1236,451
"BOULDER	 CO	",2020,2010,453
"CHAMPAIGN/URBANA	 IL	",2020,1020,455
CHARLESTON WV,2020,1038,457
"CHARLOTTESVILLE	 VA	",2020,1806,459
"CHATTANOOGA	 TN	",2020,1317,461
"CINCINNATI	 OH	",2020,1629,463
"COLUMBIA/JEFFERSON CITY	MO	",2020,1095,465
"COLUMBUS AFB	 MS	",2020,975,467
"DAVIS-MONTHAN AFB	 AZ	",2020,1425,469
"DES MOINES	 IA	",2020,1398,471
"DULUTH	 MN	",2020,1536,473
"DULUTH	 MN	",2020,1536,475
"EGLIN AFB	 FL	",2020,1536,477
"ESSEX CO	 MA	",2020,2556,479
"FAYETTEVILLE	 AR	",2020,1047,481
"FORT COLLINS	 CO	",2020,1740,483
"FORT COLLINS	 CO	",2020,1740,485
"FORT LEAVENWORTH	 KS	",2020,1461,487
"HAMPDEN COUNTY	 MA	",2020,1683,489
"HAWAII COUNTY	 HI	",2020,2346,491
"HELENA	 MT	",2020,951,493
"NEW LONDON	 CT	",2020,1608,495
"OGDEN/HILL AFB	 UT	",2020,1485,497
"RAPID CITY/ELLSWORTH AFB	 SD	",2020,1305,499
